핵심증상,intent,keyword(임상키워드),연관표현,utterance(2차),response(공감)
수면,정신증상/불면,불면,하루종일 잔다/밤에 8-10시간 낮에 4시간 잠을 잔다/잠은 평소보다 많이 늘었는데 잠을 자고 나도 기분이 좋지 않다/하루종일 자고 싶다/잠만 자고 싶어서 낮에 약을 먹고 하루에 15시간 정도 잔다/밤에 4-5시간 정도 잔다/새벽에 일찍 깬다/낮에 피곤하다/하루 2-3시간 정도밖에 자지 못하고/약 먹고 한 두시간 잤는데 이젠 아예 잠을 못 들때가 많다/수면제를 10알 가량 먹어도 3시간 이상 수면을 지속하기 어려워/졸려서 눕는데 말똥 아침에 몸이 무겁고/조각잠/수면제 먹어도 2-3시간 자고/새벽에 깨서 더이상 자지 못한다/밤에 눈 뜨고 있는 시간이 많다/선잠 잔 느낌 개운치 않다/5-6시간 자지만 자꾸 설친다/하루에 6시간 이상 자는데 자주 깬다 일어나도 몸이 무거움/약을 먹지 않으면 잠이 안온다/30분 수면 후 3시간 깨어있는 상황/잠을 잘 자지 못하고 한번 잠을 자면 20시간 가까이 잤다,스트레스 받는 것도 아닌데 불면증이야,잠을 제대로 못 주무시다니 피로가 많이 쌓이셨겠어요. 신체적으로나 정신적으로 힘드실 것 같아 걱정이 들어요.
초조함,정신증상/초조함,안절부절못함,늘 쫓기는 느낌/불편감/잘 모르겠다/나 자신을 주체할 수 없다/공격적이 된다/짜증이 늘었다/갑자기 짜증이 난다/괜히 짜증이 난다/매사가 다 짜증난다/신경질이 늘었다/스트레스 받으면서 기복 심해진다/,이유 없이 초조해,신경이 예민해지셨군요. 00님이 받는 스트레스가 컸을 것 같아 저 또한 걱정스러워요.
초조함,정신증상/초조함,안절부절못함,늘 쫓기는 느낌/불편감/잘 모르겠다/나 자신을 주체할 수 없다/공격적이 된다/짜증이 늘었다/갑자기 짜증이 난다/괜히 짜증이 난다/매사가 다 짜증난다/신경질이 늘었다/스트레스 받으면서 기복 심해진다/,별일은 없는데 초조해,마음이 예민하면 체력도 빨리 소모되는 기분이 드는 거 같아요. 많이 힘들어 보여 걱정이네요. 
초조함,정신증상/초조함,안절부절못함,늘 쫓기는 느낌/불편감/잘 모르겠다/나 자신을 주체할 수 없다/공격적이 된다/짜증이 늘었다/갑자기 짜증이 난다/괜히 짜증이 난다/매사가 다 짜증난다/신경질이 늘었다/스트레스 받으면서 기복 심해진다/,출산일 생각하면 안절부절못하겠어,00님이 힘들어 보여 저도 속상한 마음이 들어요.
초조함,정신증상/초조함,안절부절못함,늘 쫓기는 느낌/불편감/잘 모르겠다/나 자신을 주체할 수 없다/공격적이 된다/짜증이 늘었다/갑자기 짜증이 난다/괜히 짜증이 난다/매사가 다 짜증난다/신경질이 늘었다/스트레스 받으면서 기복 심해진다/,술을 못 마셔서인지 안절부절못하겠어,마음이 예민해져서 매우 괴로우셨겠어요. 저랑 차분하게 잠시 대화를 해봐요.
피로/활력상실,정신증상/피로,나른함,늘 피곤하고 무기력하다/아무것도 못할 정도로 피곤하다/소진됐다/건드려도 반응이 없을 정도로 힘이 없다/기진맥진하다/쉬고 싶다/슬럼프/몸을 마음대로 움직이기 힘든 느낌,아무것도 안 했는데도 나른하네,피곤해 보여서 걱정이에요. 고른 영양 섭취와 운동 등으로 기초 체력을 길러 보시는 건 어떨까 싶어요.
피로/활력상실,정신증상/피로,나른함,늘 피곤하고 무기력하다/아무것도 못할 정도로 피곤하다/소진됐다/건드려도 반응이 없을 정도로 힘이 없다/기진맥진하다/쉬고 싶다/슬럼프/몸을 마음대로 움직이기 힘든 느낌,힘든 일은 안 했는데 나른해,피로하면 몸뿐만 아니라 마음도 괴로워지는 거 같아요.
피로/활력상실,정신증상/피로,나른함,늘 피곤하고 무기력하다/아무것도 못할 정도로 피곤하다/소진됐다/건드려도 반응이 없을 정도로 힘이 없다/기진맥진하다/쉬고 싶다/슬럼프/몸을 마음대로 움직이기 힘든 느낌,별일 안 했는데 나른하네,00님이 제대로 휴식을 취하지 못하고 계신 거 같아 걱정스러워요.
피로/활력상실,정신증상/피로,나른함,늘 피곤하고 무기력하다/아무것도 못할 정도로 피곤하다/소진됐다/건드려도 반응이 없을 정도로 힘이 없다/기진맥진하다/쉬고 싶다/슬럼프/몸을 마음대로 움직이기 힘든 느낌,무리한 것도 아닌데 나른해,피로감이 있으시군요. 잘 쉬는 게 생각보다 참 쉽지 않은 것 같아요. 마음을 조금 편히 가져보시면 어떨까 싶어요.
무가치함/죄책감,정신증상/죄책감,죄책감,너무 힘들고 지쳐서 그만두고 싶다/이렇게 살면 뭐하나/전부 손을 놓게 된다/사는게 허무하다/모든 것을 포기한 느낌/기분이 가라앉으면 다 필요 없다는 생각이 든다/나른하다/온 몸에 힘이 없다/말하는 것도 힘들다/의미가 없다/지쳤다/전부 내려놓고 싶다/후회스럽다/잘못된 것 같은데 고쳐지지가 않는다/걱정이 많이 되고 죄책감이 든다/끈기있게 일을 못했다는 죄책감/잘 버티지 못한다는 죄책감/직장에서 일을 주어진 시간 내에 하지 못하는 것 같아 힘들다/,가만히 있어도 죄책감이 들어,죄책감 때문에 힘드시군요. 00님이 너무 자책하지 않으셨으면 좋겠어요.
